unique_id,Model,ME,MAE,RMSE,MAPE
hotel_0,Naive,0.08201058201058198,0.1947089947089947,0.25243388153318447,34.10903217219256
hotel_0,SeasonalNaive,0.029805996472663132,0.21428571428571427,0.26715531035209855,35.41912145633045
hotel_0,AutoETS,-0.007384046380317481,0.18431418789291926,0.22351498912209397,29.7295999738063
hotel_0,LGBMRegressor,0.03241303344629804,0.14037874927681776,0.1866796890458756,24.388673036800903
hotel_105,Naive,0.05318957771787961,0.12003593890386341,0.15947546913060318,16.684634338392627
hotel_105,SeasonalNaive,-0.07385444743935311,0.10530098831985625,0.13887026835007862,12.210771709853843
hotel_105,AutoETS,-0.06242746666528178,0.10214192290978036,0.13228982083343696,11.932141359835342
hotel_105,LGBMRegressor,-0.06649184792138407,0.10744226186145017,0.13555219736581361,12.512608439545053
hotel_112,Naive,-0.06464285714285713,0.14125,0.16938537791084565,16.2639749521374
hotel_112,SeasonalNaive,-0.01642857142857144,0.11357142857142857,0.1399158707683197,13.375194366081617
hotel_112,AutoETS,-0.0366965336304817,0.10576777422269999,0.1264743447524021,12.247717554135953
hotel_112,LGBMRegressor,-0.05418723372251514,0.11217419410738694,0.13359264222347203,12.915841736831386
hotel_126,Naive,0.009561752988047798,0.03551508252703471,0.06472987075914946,4.16605299427268
hotel_126,SeasonalNaive,-0.000455321570859423,0.046215139442231074,0.08818715360888009,5.3136533010374425
hotel_126,AutoETS,-0.03734164693475655,0.061687988900823144,0.08015850720948862,6.609077160206465
hotel_126,LGBMRegressor,-0.057252777060097376,0.07212962689178179,0.09349286217361989,7.568419859482603
hotel_133,Naive,0.014519906323185002,0.10749414519906324,0.14357137079220536,13.583397063031102
hotel_133,SeasonalNaive,-0.01779859484777517,0.10725995316159251,0.14257852817028524,13.667983913430506
hotel_133,AutoETS,-0.0300771995937073,0.10018135834563968,0.12793112119647446,12.115928958290736
hotel_133,LGBMRegressor,-0.03576663208223986,0.10276120763564775,0.1294888745158523,12.889884421268746
hotel_14,Naive,0.050269541778975746,0.15026954177897575,0.1902328222848642,24.213389511551668
hotel_14,SeasonalNaive,-0.001212938005390832,0.11859838274932614,0.1574652368581609,18.367868999486404
hotel_14,AutoETS,0.003294282277537795,0.11228648850223127,0.14163080617295787,17.472352649321877
hotel_14,LGBMRegressor,0.017088780822039715,0.08889387704395142,0.11572581026214013,14.054824060753193
hotel_21,Naive,0.017691798941798936,0.02999338624338624,0.05265958407566979,3.350900159664464
hotel_21,SeasonalNaive,-0.015906084656084663,0.0462632275132275,0.07738250688078166,4.870432115496732
hotel_21,AutoETS,0.008787268385847662,0.031682802983023235,0.04982666446397726,3.4736799592919407
hotel_21,LGBMRegressor,-0.03987431742644777,0.05189473813673799,0.060969733983456086,5.3901123766683465
hotel_28,Naive,-0.00880952380952381,0.00880952380952381,0.0633709161672215,100.0
hotel_28,SeasonalNaive,-0.00880952380952381,0.00880952380952381,0.0633709161672215,100.0
hotel_28,AutoETS,-0.00248753333056039,0.017970257922602335,0.06499245297583958,71.93830838299573
hotel_28,LGBMRegressor,0.0021736239782168838,0.018382236110558507,0.06299530813480134,39.13623830775016
hotel_35,Naive,-0.13916015625,0.1664760044642857,0.19908610397120535,22.117279318021605
hotel_35,SeasonalNaive,-0.08162667410714286,0.16823381696428572,0.19810813113409184,23.742467823317703
hotel_35,AutoETS,-0.10762423083841928,0.14736497033170431,0.17756959898787888,19.894538938504443
hotel_35,LGBMRegressor,-0.016395998789666903,0.10616186458513727,0.13227737717057236,15.676662102788482
hotel_42,Naive,-0.11200115673799882,0.2825621746674378,0.345949158007164,48.05921362094949
hotel_42,SeasonalNaive,-0.05786581839213419,0.29170040485829957,0.3568743649049122,52.40136821985306
hotel_42,AutoETS,-0.1377182447427834,0.2709041382417695,0.3236070793386512,44.29062776712702
hotel_42,LGBMRegressor,0.00669309548967274,0.1942327363129756,0.23443263395175767,38.87140842367759
hotel_49,Naive,0.08197130380536498,0.09831565814098567,0.12261114721973759,14.645699014009391
hotel_49,SeasonalNaive,0.046412975670617584,0.09320024953212727,0.11934837574446511,13.613257297216496
hotel_49,AutoETS,0.0353983426659382,0.07828940220367667,0.09665467534847777,11.344632101313772
hotel_49,LGBMRegressor,0.06062713195662878,0.08079443900366375,0.10023748977226829,11.970773750941317
hotel_56,Naive,0.017797619047619055,0.06089285714285716,0.0956571880155779,7.282582397244969
hotel_56,SeasonalNaive,-0.00363095238095238,0.06244047619047619,0.10659083986373849,7.173466463619837
hotel_56,AutoETS,-0.01266627970148968,0.06493355105470357,0.08776202043787588,7.301679970631896
hotel_56,LGBMRegressor,-0.031496865821665665,0.068333704737033,0.09048022776966749,7.537774732423543
hotel_63,Naive,0.10285714285714287,0.1737142857142857,0.22589910500871618,30.29948525555046
hotel_63,SeasonalNaive,-0.028063492063492068,0.17936507936507934,0.22681227815929525,26.866369407690144
hotel_63,AutoETS,-0.01240943902371155,0.14186446619271958,0.17221762583817823,21.643517612442526
hotel_63,LGBMRegressor,-0.010724925444462607,0.13001973854750914,0.15887305717255024,19.833835863388106
hotel_7,Naive,0.15774778966961378,0.18206142391810143,0.23415892820300846,50.59417706363587
hotel_7,SeasonalNaive,0.04416007445323406,0.1419962773382969,0.17945245516275857,34.58506950949234
hotel_7,AutoETS,0.04591221250189722,0.13728291703320739,0.16626573153156438,34.68102428411875
hotel_7,LGBMRegressor,0.09039839852508816,0.148945335568746,0.1914741668378097,39.7032370153985
hotel_70,Naive,-0.014473684210526328,0.06466165413533835,0.08358029623771338,16.453156051306184
hotel_70,SeasonalNaive,-0.05294486215538848,0.10983709273182958,0.1404154769878485,26.4936954149954
hotel_70,AutoETS,-0.08645781751010878,0.09423327262166989,0.1180106564129263,21.64294684587803
hotel_70,LGBMRegressor,-0.016461945310406716,0.08164703348308404,0.1104689342067627,19.732437963218974
hotel_77,Naive,0.0014812955059000754,0.002560883755962842,0.004451043965719795,181.30718954248366
hotel_77,SeasonalNaive,2.51067034898318e-05,0.0014812955059000754,0.002794636627535904,108.10457516339869
hotel_77,AutoETS,0.0027601733534228846,0.005275033614770955,0.00688224491332587,274.36547210567375
hotel_77,LGBMRegressor,,,,
hotel_84,Naive,0.04819574888779043,0.15165595650024719,0.200608928193706,25.64336871028981
hotel_84,SeasonalNaive,-0.031389026198714774,0.15748887790410282,0.1960309810477694,22.92448020046254
hotel_84,AutoETS,-0.061136091737932524,0.14139363924469425,0.1715509973313001,20.467176432577197
hotel_84,LGBMRegressor,-0.05335673171859093,0.1263345766992681,0.15527242436032865,18.104810805330114
hotel_91,Naive,0.014767255216693443,0.1595505617977528,0.22121261046147234,22.878634193261124
hotel_91,SeasonalNaive,-0.027929373996789724,0.19357945425361156,0.24776673069936608,25.258968497667112
hotel_91,AutoETS,0.0027292534735572104,0.14274165304064823,0.19231867848097578,19.914198761550022
hotel_91,LGBMRegressor,-0.03943845845883097,0.14959143919748627,0.18264674134513892,19.67539213005938
hotel_98,Naive,0.06301843317972348,0.1846774193548387,0.21722502220517337,108.56597206679585
hotel_98,SeasonalNaive,-0.008640552995391704,0.1476958525345622,0.20490854791170643,69.83018434199327
hotel_98,AutoETS,-0.017762561348150616,0.15439095696346544,0.18915448480096714,74.14850622154509
hotel_98,LGBMRegressor,0.0720471579516219,0.15235631100859076,0.1777636394037617,99.86377135316867
